nta_code,lon,lat
BX34,-73.90185006265486,40.819127423815615
QN10,-73.88310979559357,40.56809950723481
QN12,-73.76779221530805,40.596885761793324
BX17,-73.88190057613944,40.84722087350568
BX37,-73.83194204651684,40.855274937167614
QN17,-73.83145650697917,40.71416814015628
QN60,-73.81694159363629,40.702492579408606
BK68,-73.96936978179305,40.695934782947724
BX01,-73.89144545582656,40.85384401922432
BX40,-73.89128169009294,40.861166805365016
MN34,-73.93389519100164,40.815773725916415
MN31,-73.94285286831145,40.76820224599832
QN68,-73.93451148712046,40.770581255755566
BX39,-73.92408949210555,40.815593216382425
QN72,-73.89041982565172,40.77385250209788
QN42,-73.74140255106826,40.737038155011255
QN23,-73.8684941078974,40.78674612559281
BX14,-73.90935850619219,40.84125592920732
BX49,-73.83646304977549,40.85694618618556
BX08,-73.86455537347081,40.832410558362795
BX46,-73.86044217916519,40.83340433321629
BX55,-73.85984387515808,40.833062787126586
BX05,-73.88519403448205,40.86635933718132
BX43,-73.88258447064064,40.8677063873559
BX27,-73.88432503719976,40.82280731727435
BX75,-73.87306369995852,40.839326742272675
SI08,-74.0830819999322,40.60649968414232
SI35,-74.08500301841927,40.634606552404215
BX13,-73.82099480912383,40.881052804651816
BK64,-73.96654668530971,40.681568642536384
BK30,-74.00485074795044,40.630803149240975
QN15,-73.7639459831042,40.592243711401
QN50,-73.89096281350801,40.745015803625286
QN57,-73.85946036300331,40.653227268607495
QN28,-73.87277586745499,40.75518222804091
