nta_code,lon,lat,people_per_acre
QN72,-73.89041982565172,40.77385250209788,36.8
QN42,-73.74140255106826,40.737038155011255,24.5
QN23,-73.8684941078974,40.78674612559281,21.1
BX14,-73.90935850619219,40.84125592920732,148.8
BX49,-73.83646304977549,40.85694618618556,56.6
BX08,-73.86455537347081,40.832410558362795,101.6
BX46,-73.86044217916519,40.83340433321629,141.5
BX55,-73.85984387515808,40.833062787126586,95.9
BX05,-73.88519403448205,40.86635933718132,158.3
BX43,-73.88258447064064,40.8677063873559,112.2
BX27,-73.88432503719976,40.82280731727435,24.2
BX75,-73.87306369995852,40.839326742272675,53.6
SI08,-74.0830819999322,40.60649968414232,25.8
SI35,-74.08500301841927,40.634606552404215,16.2
BX13,-73.82099480912383,40.881052804651816,51.0
BK64,-73.96654668530971,40.681568642536384,83.6
