"","time","type","avg_rent"
"385","2016-09","Condo/Co-op",NA
"386","2016-10","Condo/Co-op",NA
"387","2016-11","Condo/Co-op",NA
"388","2016-12","Condo/Co-op",NA
"389","2017-01","Condo/Co-op",NA
"390","2017-02","Condo/Co-op",5.45144315088063
"391","2017-03","Condo/Co-op",5.45570245680943
"392","2017-04","Condo/Co-op",5.47324162154859
"393","2017-05","Condo/Co-op",5.51495746943544
"394","2017-06","Condo/Co-op",5.51347347325021
"395","2017-07","Condo/Co-op",5.50847589915474
"396","2017-08","Condo/Co-op",5.49052945263687
"397","2017-09","Condo/Co-op",5.44948677575867
"398","2017-10","Condo/Co-op",5.3973481330939
"399","2017-11","Condo/Co-op",5.3564547904349
"400","2017-12","Condo/Co-op",5.33908102112719
"401","2018-01","Condo/Co-op",5.35098253023579
"402","2018-02","Condo/Co-op",5.12832883034043
"403","2018-03","Condo/Co-op",5.09701018349001
"404","2018-04","Condo/Co-op",5.23076416920781
"405","2018-05","Condo/Co-op",5.23612256818353
"406","2018-06","Condo/Co-op",5.22347274769513
"407","2018-07","Condo/Co-op",5.2437077938498
"408","2011-02","Duplex/Triplex",NA
"409","2011-03","Duplex/Triplex",NA
"410","2011-04","Duplex/Triplex",NA
"411","2011-05","Duplex/Triplex",NA
"412","2011-06","Duplex/Triplex",NA
"413","2011-07","Duplex/Triplex",NA
"414","2011-08","Duplex/Triplex",NA
"415","2011-09","Duplex/Triplex",NA
"416","2011-10","Duplex/Triplex",NA
"417","2011-11","Duplex/Triplex",NA
"418","2011-12","Duplex/Triplex",NA
"419","2012-01","Duplex/Triplex",NA
"420","2012-02","Duplex/Triplex",NA
"421","2012-03","Duplex/Triplex",NA
"422","2012-04","Duplex/Triplex",NA
"423","2012-05","Duplex/Triplex",NA
"424","2012-06","Duplex/Triplex",NA
"425","2012-07","Duplex/Triplex",NA
"426","2012-08","Duplex/Triplex",NA
"427","2012-09","Duplex/Triplex",NA
"428","2012-10","Duplex/Triplex",NA
"429","2012-11","Duplex/Triplex",NA
"430","2012-12","Duplex/Triplex",NA
"431","2013-01","Duplex/Triplex",NA
"432","2013-02","Duplex/Triplex",NA
"433","2013-03","Duplex/Triplex",NA
"434","2013-04","Duplex/Triplex",NA
"435","2013-05","Duplex/Triplex",NA
"436","2013-06","Duplex/Triplex",NA
"437","2013-07","Duplex/Triplex",NA
"438","2013-08","Duplex/Triplex",NA
"439","2013-09","Duplex/Triplex",NA
"440","2013-10","Duplex/Triplex",NA
"441","2013-11","Duplex/Triplex",NA
"442","2013-12","Duplex/Triplex",NA
"443","2014-01","Duplex/Triplex",NA
"444","2014-02","Duplex/Triplex",NA
"445","2014-03","Duplex/Triplex",NA
"446","2014-04","Duplex/Triplex",NA
"447","2014-05","Duplex/Triplex",NA
"448","2014-06","Duplex/Triplex",NA
"449","2014-07","Duplex/Triplex",NA
"450","2014-08","Duplex/Triplex",NA
"451","2014-09","Duplex/Triplex",NA
"452","2014-10","Duplex/Triplex",NA
"453","2014-11","Duplex/Triplex",NA
"454","2014-12","Duplex/Triplex",NA
"455","2015-01","Duplex/Triplex",NA
"456","2015-02","Duplex/Triplex",NA
"457","2015-03","Duplex/Triplex",NA
"458","2015-04","Duplex/Triplex",NA
"459","2015-05","Duplex/Triplex",NA
"460","2015-06","Duplex/Triplex",NA
"461","2015-07","Duplex/Triplex",NA
"462","2015-08","Duplex/Triplex",NA
"463","2015-09","Duplex/Triplex",NA
"464","2015-10","Duplex/Triplex",NA
"465","2015-11","Duplex/Triplex",NA
"466","2015-12","Duplex/Triplex",NA
"467","2016-01","Duplex/Triplex",NA
"468","2016-02","Duplex/Triplex",NA
"469","2016-03","Duplex/Triplex",NA
"470","2016-04","Duplex/Triplex",NA
"471","2016-05","Duplex/Triplex",NA
"472","2016-06","Duplex/Triplex",NA
"473","2016-07","Duplex/Triplex",NA
"474","2016-08","Duplex/Triplex",NA
"475","2016-09","Duplex/Triplex",NA
"476","2016-10","Duplex/Triplex",NA
"477","2016-11","Duplex/Triplex",NA
"478","2016-12","Duplex/Triplex",NA
"479","2017-01","Duplex/Triplex",NA
"480","2017-02","Duplex/Triplex",NA
"481","2017-03","Duplex/Triplex",NA
"482","2017-04","Duplex/Triplex",4.90332687607615
"483","2017-05","Duplex/Triplex",4.91028969176381
"484","2017-06","Duplex/Triplex",4.91793861761201
"485","2017-07","Duplex/Triplex",4.92011510803238
"486","2017-08","Duplex/Triplex",4.85049023502532
"487","2017-09","Duplex/Triplex",4.8701422855919
"488","2017-10","Duplex/Triplex",4.80274622701295
"489","2017-11","Duplex/Triplex",4.80567412922039
"490","2017-12","Duplex/Triplex",4.79261936509572
"491","2018-01","Duplex/Triplex",4.80007757345176
"492","2018-02","Duplex/Triplex",4.81355922908693
"493","2018-03","Duplex/Triplex",4.83185690107808
"494","2018-04","Duplex/Triplex",4.87159446283249
"495","2018-05","Duplex/Triplex",4.91932070491085
"496","2018-06","Duplex/Triplex",4.89503759883938
"497","2018-07","Duplex/Triplex",4.97003635989254
"498","2010-02","Multi-Family Residence",NA
"499","2010-03","Multi-Family Residence",NA
"500","2010-04","Multi-Family Residence",NA
"501","2010-05","Multi-Family Residence",NA
"502","2010-06","Multi-Family Residence",NA
"503","2010-07","Multi-Family Residence",NA
"504","2010-08","Multi-Family Residence",NA
"505","2010-09","Multi-Family Residence",NA
"506","2010-10","Multi-Family Residence",NA
"507","2010-11","Multi-Family Residence",NA
"508","2010-12","Multi-Family Residence",NA
"509","2011-01","Multi-Family Residence",NA
"510","2011-02","Multi-Family Residence",NA
"511","2011-03","Multi-Family Residence",NA
"512","2011-04","Multi-Family Residence",NA
"513","2011-05","Multi-Family Residence",NA
"514","2011-06","Multi-Family Residence",NA
"515","2011-07","Multi-Family Residence",NA
"516","2011-08","Multi-Family Residence",NA
"517","2011-09","Multi-Family Residence",NA
"518","2011-10","Multi-Family Residence",NA
"519","2011-11","Multi-Family Residence",NA
"520","2011-12","Multi-Family Residence",NA
"521","2012-01","Multi-Family Residence",NA
"522","2012-02","Multi-Family Residence",NA
"523","2012-03","Multi-Family Residence",NA
"524","2012-04","Multi-Family Residence",NA
"525","2012-05","Multi-Family Residence",NA
"526","2012-06","Multi-Family Residence",NA
"527","2012-07","Multi-Family Residence",NA
"528","2012-08","Multi-Family Residence",NA
"529","2012-09","Multi-Family Residence",NA
"530","2012-10","Multi-Family Residence",NA
"531","2012-11","Multi-Family Residence",NA
"532","2012-12","Multi-Family Residence",NA
"533","2013-01","Multi-Family Residence",NA
"534","2013-02","Multi-Family Residence",NA
"535","2013-03","Multi-Family Residence",NA
"536","2013-04","Multi-Family Residence",NA
"537","2013-05","Multi-Family Residence",NA
"538","2013-06","Multi-Family Residence",NA
"539","2013-07","Multi-Family Residence",NA
"540","2013-08","Multi-Family Residence",NA
"541","2013-09","Multi-Family Residence",NA
"542","2013-10","Multi-Family Residence",NA
"543","2013-11","Multi-Family Residence",NA
"544","2013-12","Multi-Family Residence",NA
"545","2014-01","Multi-Family Residence",NA
"546","2014-02","Multi-Family Residence",NA
"547","2014-03","Multi-Family Residence",NA
"548","2014-04","Multi-Family Residence",NA
"549","2014-05","Multi-Family Residence",NA
"550","2014-06","Multi-Family Residence",NA
"551","2014-07","Multi-Family Residence",NA
"552","2014-08","Multi-Family Residence",NA
"553","2014-09","Multi-Family Residence",NA
"554","2014-10","Multi-Family Residence",NA
"555","2014-11","Multi-Family Residence",NA
"556","2014-12","Multi-Family Residence",NA
"557","2015-01","Multi-Family Residence",NA
"558","2015-02","Multi-Family Residence",NA
"559","2015-03","Multi-Family Residence",NA
"560","2015-04","Multi-Family Residence",NA
"561","2015-05","Multi-Family Residence",NA
"562","2015-06","Multi-Family Residence",NA
"563","2015-07","Multi-Family Residence",NA
"564","2015-08","Multi-Family Residence",NA
"565","2015-09","Multi-Family Residence",NA
"566","2015-10","Multi-Family Residence",NA
"567","2015-11","Multi-Family Residence",NA
"568","2015-12","Multi-Family Residence",NA
"569","2016-01","Multi-Family Residence",NA
"570","2016-02","Multi-Family Residence",NA
"571","2016-03","Multi-Family Residence",NA
"572","2016-04","Multi-Family Residence",NA
"573","2016-05","Multi-Family Residence",NA
"574","2016-06","Multi-Family Residence",NA
"575","2016-07","Multi-Family Residence",NA
"576","2016-08","Multi-Family Residence",NA
"577","2016-09","Multi-Family Residence",NA
"578","2016-10","Multi-Family Residence",NA
"579","2016-11","Multi-Family Residence",NA
"580","2016-12","Multi-Family Residence",NA
"581","2017-01","Multi-Family Residence",NA
"582","2017-02","Multi-Family Residence",4.90364498240462
"583","2017-03","Multi-Family Residence",4.95125710265478
"584","2017-04","Multi-Family Residence",4.95655448880451
"585","2017-05","Multi-Family Residence",4.99775608702393
"586","2017-06","Multi-Family Residence",5.00260164958402
"587","2017-07","Multi-Family Residence",5.01475188745848
"588","2017-08","Multi-Family Residence",4.97362794760917
"589","2017-09","Multi-Family Residence",4.94720067831211
"590","2017-10","Multi-Family Residence",4.90714937364007
"591","2017-11","Multi-Family Residence",4.87351965029352
"592","2017-12","Multi-Family Residence",4.87732522355483
"593","2018-01","Multi-Family Residence",4.8778705241061
"594","2018-02","Multi-Family Residence",4.85446232642573
"595","2018-03","Multi-Family Residence",4.86524197805964
"596","2018-04","Multi-Family Residence",4.94281965806756
"597","2018-05","Multi-Family Residence",4.97804415182197
"598","2018-06","Multi-Family Residence",4.95812514478173
"599","2018-07","Multi-Family Residence",4.97297624940701
"600","2010-02","Single-Family Residence",NA
"601","2010-03","Single-Family Residence",NA
"602","2010-04","Single-Family Residence",NA
"603","2010-05","Single-Family Residence",NA
"604","2010-06","Single-Family Residence",NA
"605","2010-07","Single-Family Residence",NA
"606","2010-08","Single-Family Residence",NA
"607","2010-09","Single-Family Residence",NA
"608","2010-10","Single-Family Residence",NA
"609","2010-11","Single-Family Residence",NA
"610","2010-12","Single-Family Residence",NA
"611","2011-01","Single-Family Residence",NA
"612","2011-02","Single-Family Residence",NA
"613","2011-03","Single-Family Residence",NA
